column,unit,origin,meaning,sentinel2_relation
crop_sowing_date,текст/безразмерная,прямой факт/атрибут КОРНИКС,Служебный атрибут воспроизводимости.,служебная
air_temperature_min_c,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
air_temperature_mean_c,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
air_temperature_max_c,°C,прямой факт/атрибут КОРНИКС,Суточная температура forcing.,косвенная
relative_humidity_min_pct,%,прямой факт/атрибут КОРНИКС,Суточная влажность воздуха.,косвенная
relative_humidity_mean_pct,%,прямой факт/атрибут КОРНИКС,Суточная влажность воздуха.,косвенная
relative_humidity_max_pct,%,прямой факт/атрибут КОРНИКС,Суточная влажность воздуха.,косвенная
wind_mean_mps,м/с,прямой факт/атрибут КОРНИКС,Суточный ветер.,косвенная через ET0
wind_max_gust_mps,м/с,прямой факт/атрибут КОРНИКС,Суточный ветер.,косвенная через ET0
weather_precipitation_mm,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
weather_precipitation_effective_input_mm,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
shortwave_radiation_mj_m2,МДж/м²/сут,прямой факт/атрибут КОРНИКС,Коротковолновая радиация.,средняя
eto_simple_weather_mm,мм/сут или мм накопленно,прямой факт/атрибут КОРНИКС,Эвапотранспирация/ET0.,высокая с RS-ET; S2 alone косвенно
eto_aquacrop_weather_mm,мм/сут или мм накопленно,прямой факт/атрибут КОРНИКС,Эвапотранспирация/ET0.,высокая с RS-ET; S2 alone косвенно
eto_reference_weather_mm,мм/сут или мм накопленно,прямой факт/атрибут КОРНИКС,Эвапотранспирация/ET0.,высокая с RS-ET; S2 alone косвенно
productive_water_reserve_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
available_water_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
water_demand_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_water_content_profile_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
actual_evapotranspiration_typed_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_evapotranspiration_cumulative_typed_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_transpiration_typed_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_transpiration_cumulative_typed_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_soil_evaporation_typed_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
deep_percolation_typed_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
runoff_typed_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
positive_temperature_sum_from_sowing_c_day,°C·сут,прямой факт/атрибут КОРНИКС,Накопленное тепло после посадки.,высокая: фенология
water_stress_coefficient_typed_ks,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
available_water_content_taw_typed_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
current_available_water_typed_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
eto_daily_mm,мм/сут или мм накопленно,прямой факт/атрибут КОРНИКС,Эвапотранспирация/ET0.,высокая с RS-ET; S2 alone косвенно
potential_crop_evapotranspiration_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
potential_transpiration_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
potential_soil_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_evapotranspiration_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_transpiration_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_soil_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
actual_evapotranspiration_native_cumulative_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
crop_coefficient_kc,безразмерная,прямой факт/атрибут КОРНИКС,Коэффициент культуры Kc/Kcb.,высокая/средняя: NDVI→Kcb/Kc
basal_crop_coefficient_kcb,безразмерная,прямой факт/атрибут КОРНИКС,Коэффициент культуры Kc/Kcb.,высокая/средняя: NDVI→Kcb/Kc
soil_evaporation_coefficient_ke,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
surface_evaporation_reduction_kr,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
water_stress_coefficient_ks,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
precipitation_raw_daily_mm,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
precipitation_effective_daily_mm,мм,прямой факт/атрибут КОРНИКС,"Суточные осадки: raw — вход метода, effective — вошедшая в баланс часть.",причинная: отклик почвы/полога
irrigation_raw_daily_mm,мм,прямой факт/атрибут КОРНИКС,"Суточный полив: raw — учёт/задание, effective — поступление в почву.",причинная: отклик почвы/ET
irrigation_effective_daily_mm,мм,прямой факт/атрибут КОРНИКС,"Суточный полив: raw — учёт/задание, effective — поступление в почву.",причинная: отклик почвы/ET
soil_water_start_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_water_end_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_water_available_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_water_productive_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_water_depletion_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_water_depletion_fraction_taw,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
total_available_water_taw_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
readily_available_water_raw_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
deep_drainage_below_profile_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
drainage_runoff_daily_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
capillary_rise_to_surface_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
root_zone_depth_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
profile_total_depth_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
thermal_time_after_sowing_gdd,°C·сут,прямой факт/атрибут КОРНИКС,Накопленное тепло после посадки.,высокая: фенология
days_after_sowing,сут,прямой факт/атрибут КОРНИКС,Сутки после посадки.,высокая: фенология
crop_stage_code,код,прямой факт/атрибут КОРНИКС,Фенологическая стадия.,высокая: форма сезонной кривой
balance_residual_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_surface_0_10_depth_from_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_surface_0_10_depth_to_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_surface_0_10_thickness_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_surface_0_10_stock_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_surface_0_10_theta,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_surface_0_10_theta_fc,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_surface_0_10_theta_wp,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_surface_0_10_theta_sat,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_surface_0_10_theta_mg,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_surface_0_10_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_root_effective_10_zr_depth_from_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_effective_10_zr_depth_to_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_effective_10_zr_thickness_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_effective_10_zr_stock_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_root_effective_10_zr_theta,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_effective_10_zr_theta_fc,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_effective_10_zr_theta_wp,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_effective_10_zr_theta_sat,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_effective_10_zr_theta_mg,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_effective_10_zr_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_root_total_0_zr_depth_from_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_total_0_zr_depth_to_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_total_0_zr_thickness_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_root_total_0_zr_stock_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_root_total_0_zr_theta,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_total_0_zr_theta_fc,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_total_0_zr_theta_wp,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_total_0_zr_theta_sat,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_total_0_zr_theta_mg,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_root_total_0_zr_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_lower_zr_100_depth_from_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_lower_zr_100_depth_to_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_lower_zr_100_thickness_m,м,прямой факт/атрибут КОРНИКС,Глубина или мощность слоя.,служебная
soil_lower_zr_100_stock_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_lower_zr_100_theta,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_lower_zr_100_theta_fc,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_lower_zr_100_theta_wp,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_lower_zr_100_theta_sat,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_lower_zr_100_theta_mg,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_lower_zr_100_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_0_10_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_0_10_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_0_10_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_0_10_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_0_10_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_0_10_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_0_10_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_0_10_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_0_10_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_0_10_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_0_10_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_0_10_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_0_10_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_10_20_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_10_20_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_10_20_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_10_20_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_10_20_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_10_20_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_10_20_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_10_20_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_10_20_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_10_20_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_10_20_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_10_20_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_10_20_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_20_30_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_20_30_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_20_30_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_20_30_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_20_30_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_20_30_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_20_30_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_20_30_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_20_30_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_20_30_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_20_30_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_20_30_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_20_30_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_30_40_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_30_40_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_30_40_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_30_40_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_30_40_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_30_40_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_30_40_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_30_40_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_30_40_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_30_40_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_30_40_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_30_40_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_30_40_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_40_50_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_40_50_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_40_50_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_40_50_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_40_50_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_40_50_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_40_50_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_40_50_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_40_50_paw_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_40_50_depletion_from_fc_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_40_50_paw_fraction_wp_fc,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_40_50_root_uptake_mm,мм,прямой факт/атрибут КОРНИКС,"Запас, поток или дефицит воды.",служебная
soil_layer_40_50_evaporation_mm,доля,прямой или производный (см. имя),Безразмерное состояние влаги/стресса/реализации потока.,косвенная: спектральный/ET отклик
soil_layer_50_60_stock_start_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_50_60_stock_end_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_50_60_stock_change_mm,мм,прямой diagnostic или производный,Запас воды либо дефицит геометрического/функционального слоя.,0–10 см перспективно; глубже косвенно
soil_layer_50_60_theta_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_50_60_theta_fc_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_50_60_theta_wp_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_50_60_theta_sat_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
soil_layer_50_60_theta_mg_m3_m3,м³/м³,прямой факт/атрибут КОРНИКС,Объёмная влажность или гидрофизический порог.,0–10 см: S1+S2; глубже: только косвенно
